condition,metric,n,mean,ci_low,ci_high,std
A,brm,10,0.831545,0.818255,0.845046,0.022625
A,gini,10,0.714697,0.695547,0.735343,0.034177
A,cooperation_rate,10,0.455100,0.426833,0.480701,0.045918
A,mean_wealth,10,174.575350,168.930933,180.506256,9.711130
A,jsd_component,10,0.881019,0.858012,0.902049,0.037595
A,stability_component,10,0.998442,0.998188,0.998691,0.000424
B,brm,10,0.847824,0.837894,0.858781,0.017436
B,gini,10,0.718447,0.699677,0.739872,0.034141
B,cooperation_rate,10,0.460700,0.435598,0.488034,0.044213
B,mean_wealth,10,177.342750,171.173911,182.728450,9.901145
B,jsd_component,10,0.885519,0.862350,0.908325,0.039030
B,stability_component,10,0.998359,0.998144,0.998553,0.000346
D,brm,7,0.747543,0.741673,0.752171,0.007913
D,gini,7,0.307198,0.302712,0.312218,0.006906
D,cooperation_rate,7,0.382333,0.382333,0.382333,0.000000
D,mean_wealth,7,688.875000,688.875000,688.875000,0.000000
D,jsd_component,7,0.211690,0.192480,0.227125,0.026158
D,stability_component,7,0.993941,0.993941,0.993941,0.000000
