metric,condition_a_mean,condition_a_std,condition_b_mean,condition_b_std,n_a,n_b
wealth_mean,108.7647,24.5407,85.0938,8.6323,17,8
wealth_median,107.1471,24.7044,83.25,10.6503,17,8
wealth_variance,342.5944,209.2404,585.5703,221.4034,17,8
wealth_min,84.0,24.6323,52.875,10.1621,17,8
wealth_max,141.5294,24.7642,151.75,19.4624,17,8
wealth_gini,0.092,0.0413,0.1483,0.0346,17,8
stress_mean,1.7024,1.2287,0.7031,0.7443,17,8
stress_median,1.8706,1.2722,0.775,0.9925,17,8
stress_variance,0.3006,0.28,0.2561,0.1194,17,8
stress_min,0.6765,1.7116,0.125,0.5726,17,8
stress_max,2.0353,0.9817,1.3375,0.7425,17,8
actions_cooperate,5.1667,5.7417,10.5,4.3753,6,8
actions_save,14.1111,6.8272,1.8333,1.3292,9,6
actions_work,3.1333,1.7265,9.2857,4.8206,15,7
behavior_cooperation_rate,0.1441,0.2663,0.525,0.2188,17,8
behavior_defection_rate,0.0,0.0,0.0,0.0,17,8
event_action_counts_cooperate,18.4286,25.9542,54.125,7.8638,7,8
event_action_counts_save,47.5,26.5592,22.0,5.6315,10,8
event_action_counts_work,19.4706,11.8433,27.2857,9.4818,17,7
event_behavior_work_rate,0.5947,0.3677,0.2388,0.1304,17,8
event_behavior_save_rate,0.2861,0.3071,0.22,0.0563,17,8
event_behavior_cooperation_rate,0.1192,0.2314,0.5412,0.0786,17,8
event_behavior_rejected_action_rate,0.0078,0.0323,0.0,0.0,17,8
validation_summary_valid_actions,54.8824,43.849,100.0,0.0,17,8
validation_summary_invalid_actions,0.1176,0.4851,0.0,0.0,17,8
