exp_id,condition,seed,status,cooperation_rate,gini,mean_wealth,brm,b_rlhf
mx_A_s1,A,1,running,0.4663,0.7107,185.43,0.811,0.1817
mx_A_s2,A,2,complete,0.521,0.7849,168.35,0.8043,0.2113
mx_A_s3,A,3,complete,0.458,0.7146,185.42,0.8223,0.1727
mx_A_s4,A,4,complete,0.4347,0.6801,167.44,0.8551,0.227
mx_A_s5,A,5,complete,0.4743,0.7241,170.42,0.8401,0.2187
mx_A_s6,A,6,complete,0.4937,0.7241,176.02,0.8042,0.1917
mx_A_s7,A,7,complete,0.454,0.7256,191.14,0.8263,0.1287
mx_A_s8,A,8,complete,0.3773,0.6679,171.11,0.8632,0.189
mx_A_s9,A,9,complete,0.3837,0.6777,160.59,0.8621,0.2173
mx_A_s10,A,10,complete,0.4857,0.7372,169.83,0.8269,0.2177
mx_B_s1,B,1,complete,0.4533,0.7017,187.73,0.8379,0.165
mx_B_s2,B,2,complete,0.469,0.7107,187.39,0.8527,0.1463
mx_B_s3,B,3,complete,0.4737,0.7313,178.49,0.8362,0.185
mx_B_s4,B,4,complete,0.3957,0.6691,169.26,0.8835,0.2067
mx_B_s5,B,5,complete,0.514,0.7733,171.81,0.8376,0.239
mx_B_s6,B,6,complete,0.4627,0.6993,178.91,0.8344,0.1737
mx_B_s7,B,7,complete,0.544,0.7793,188.63,0.825,0.2107
mx_B_s8,B,8,complete,0.427,0.7032,180.06,0.856,0.171
mx_B_s9,B,9,complete,0.415,0.7121,156.57,0.8661,0.2353
mx_B_s10,B,10,complete,0.4527,0.7044,174.58,0.8488,0.192
