experiment_id,policy_type,num_agents,num_rounds,seed,wealth_mean,wealth_median,wealth_variance,wealth_min,wealth_max,wealth_gini,stress_mean,stress_median,stress_variance,stress_min,stress_max,actions_cooperate,actions_save,actions_work,behavior_cooperation_rate,behavior_defection_rate,event_action_counts_cooperate,event_action_counts_save,event_action_counts_work,event_behavior_work_rate,event_behavior_save_rate,event_behavior_cooperation_rate,event_behavior_rejected_action_rate,validation_summary_valid_actions,validation_summary_invalid_actions,actions_none
abl_v0_llm_s123,llm,10,,123.0,102.9,96.0,553.49,60.0,148.0,0.1252672497570455,0.18,0.14999999999999997,0.3376000000000001,-0.4,0.8,8.0,1.0,1.0,0.8,0.0,18.0,7.0,5.0,0.16666666666666666,0.23333333333333334,0.6,0.0,30,0,
abl_v0_llm_s42,llm,1,,42.0,120.0,120.0,0.0,120.0,120.0,0.0,1.0,1.0,0.0,1.0,1.0,,,1.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,1,0,
abl_v1_llm_s42,llm,1,,42.0,110.0,110.0,0.0,110.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,,,0.0,0.0,1.0,1.0,0,1,1.0
abl_v2_llm_s42,llm,1,,42.0,110.0,110.0,0.0,110.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,,,0.0,0.0,1.0,1.0,0,1,1.0
abl_v3_llm_s42,llm,1,,42.0,110.0,110.0,0.0,110.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,,,0.0,0.0,1.0,1.0,0,1,1.0
abl_v4_llm_s42,llm,1,,42.0,110.0,110.0,0.0,110.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,,,0.0,0.0,1.0,1.0,0,1,1.0
abl_v5_llm_s42,llm,1,,42.0,110.0,110.0,0.0,110.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,,,0.0,0.0,1.0,1.0,0,1,1.0
ablation_minimal_persona_s123,ablated_llm,5,,123.0,139.0,139.0,377.2,119.0,172.0,0.07539568345323744,2.7600000000000002,3.0,0.2304,1.8,3.0,,1.0,4.0,0.0,0.0,,1.0,14.0,0.9333333333333333,0.06666666666666667,0.0,0.0,15,0,
ablation_minimal_persona_s42,ablated_llm,5,,42.0,119.2,114.0,361.36,102.0,155.0,0.08120805369127515,3.0,3.0,0.0,3.0,3.0,,,5.0,0.0,0.0,,,15.0,1.0,0.0,0.0,0.0,15,0,
ablation_minimal_persona_s7,ablated_llm,5,,7.0,131.0,125.0,214.0,110.0,150.0,0.06106870229007644,3.0,3.0,0.0,3.0,3.0,,,5.0,0.0,0.0,,,15.0,1.0,0.0,0.0,0.0,15,0,
ablation_no_persona_s123,ablated_llm,5,,123.0,140.0,135.0,380.0,115.0,175.0,0.0714285714285714,3.0,3.0,0.0,3.0,3.0,,,5.0,0.0,0.0,,,15.0,1.0,0.0,0.0,0.0,15,0,
ablation_no_persona_s42,ablated_llm,5,,42.0,93.0,90.0,306.0,75.0,125.0,0.09892473118279566,0.8400000000000001,0.8,0.006399999999999998,0.8,1.0,4.0,,1.0,0.8,0.0,10.0,,5.0,0.3333333333333333,0.0,0.6666666666666666,0.13333333333333333,13,2,
ablation_no_persona_s7,ablated_llm,5,,7.0,133.8,130.0,445.75999999999993,104.0,160.0,0.08789237668161443,3.0,3.0,0.0,3.0,3.0,,,5.0,0.0,0.0,,,15.0,1.0,0.0,0.0,0.0,15,0,
ablation_rich_persona_s123,ablated_llm,5,,123.0,140.4,145.0,719.8399999999999,98.0,175.0,0.10712250712250726,2.56,3.0,0.7744,0.8,3.0,1.0,,4.0,0.2,0.0,2.0,,13.0,0.8666666666666667,0.0,0.13333333333333333,0.0,15,0,
ablation_rich_persona_s42,ablated_llm,5,,42.0,121.8,122.0,307.36,100.0,152.0,0.07816091954022997,2.7800000000000002,3.0,0.19360000000000005,1.9,3.0,1.0,,4.0,0.2,0.0,1.0,,14.0,0.9333333333333333,0.0,0.06666666666666667,0.0,15,0,
ablation_rich_persona_s7,ablated_llm,5,,7.0,134.8,135.0,456.55999999999995,110.0,162.0,0.08724035608308611,2.7600000000000002,3.0,0.2304,1.8,3.0,,,5.0,0.0,0.0,,1.0,14.0,0.9333333333333333,0.06666666666666667,0.0,0.0,15,0,
auditable_random_ess_persona_s42,,20,,,85.15,82.0,470.22749999999985,31.0,124.0,0.13837345860246608,0.62,0.5,0.8205999999999998,-0.9,2.5999999999999996,8.0,10.0,2.0,0.4,0.0,36.0,40.0,24.0,0.24,0.4,0.36,0.0,100,0,
auditable_random_ess_persona_s43,,20,,,84.85,84.0,394.22749999999996,51.0,130.0,0.13179139658220373,0.7949999999999998,0.40000000000000013,0.7194749999999999,-0.8,2.8,7.0,6.0,7.0,0.35,0.0,35.0,38.0,27.0,0.27,0.38,0.35,0.0,100,0,
auditable_random_ess_persona_s44,,20,,,87.15,85.5,170.72750000000002,61.0,110.0,0.08459552495697076,1.0599999999999998,1.4500000000000002,0.47639999999999993,0.19999999999999996,2.5999999999999996,7.0,9.0,4.0,0.35,0.0,28.0,40.0,32.0,0.32,0.4,0.28,0.0,100,0,
cmp_llm_s1,llm,20,,1.0,249.5,245.5,441.15,205.0,297.0,0.046372745490981915,9.940000000000001,10.0,0.0683999999999999,8.8,10.0,,,20.0,0.0,0.0,,1.0,199.0,0.995,0.005,0.0,0.0,200,0,
cmp_llm_s123,llm,5,,123.0,250.4,250.0,290.64,227.0,280.0,0.035463258785942475,10.0,10.0,0.0,10.0,10.0,,,5.0,0.0,0.0,,,50.0,1.0,0.0,0.0,0.0,50,0,
cmp_llm_s2,llm,20,,2.0,246.75,250.0,307.4875,212.0,280.0,0.03976697061803436,9.945,10.0,0.057474999999999964,8.9,10.0,,,20.0,0.0,0.0,1.0,,199.0,0.995,0.0,0.005,0.0,200,0,
cmp_llm_s3,llm,20,,3.0,244.55,244.5,483.0475,210.0,289.0,0.050552034348803954,10.0,10.0,0.0,10.0,10.0,,,20.0,0.0,0.0,,,200.0,1.0,0.0,0.0,0.0,200,0,
cmp_llm_s4,llm,20,,4.0,230.5,233.0,2523.65,98.0,294.0,0.11221258134490242,9.015,10.0,7.898275000000003,-0.8,10.0,1.0,1.0,18.0,0.05,0.0,7.0,10.0,183.0,0.915,0.05,0.035,0.0,200,0,
cmp_llm_s42,llm,5,,42.0,226.0,221.0,157.2,211.0,248.0,0.029734513274336294,10.0,10.0,0.0,10.0,10.0,,,5.0,0.0,0.0,,,50.0,1.0,0.0,0.0,0.0,50,0,
cmp_llm_s5,llm,20,,5.0,221.35,246.0,4351.6275000000005,35.0,295.0,0.1443076575559068,8.41,10.0,13.1769,-0.8,10.0,2.0,1.0,17.0,0.1,0.0,18.0,10.0,172.0,0.86,0.05,0.09,0.0,200,0,
cmp_llm_s7,llm,5,,7.0,242.8,240.0,295.76,220.0,267.0,0.03986820428336091,10.0,10.0,0.0,10.0,10.0,,,5.0,0.0,0.0,,,50.0,1.0,0.0,0.0,0.0,50,0,
cmp_random_s1,random,10,,1.0,108.0,105.0,631.0,75.0,150.0,0.13055555555555554,0.34,0.10000000000000003,0.8343999999999999,-0.5,1.9,2.0,6.0,2.0,0.2,0.0,10.0,13.0,7.0,0.23333333333333334,0.43333333333333335,0.3333333333333333,0.0,30,0,
