experiment_id,condition_key,seed,is_primary,policy_family,persona_source,use_population_context,wealth_mean,wealth_gini,stress_mean,work_rate,save_rate,cooperation_rate,rejected_action_rate,run_dir
auditable_random_ess_persona_s42,auditable_random_ess_persona,42,True,auditable_random,ess,True,85.15,0.13837345860246608,0.62,0.24,0.4,0.36,0.0,experiments/auditable_random_ess_persona_s42
pure_llm_ess_persona_s42,pure_llm_ess_persona,42,True,llm,ess,False,89.25,0.0765546218487394,0.9249999999999998,0.32,0.67,0.01,0.0,experiments/pure_llm_ess_persona_s42
grounded_llm_ess_persona_s42,grounded_llm_ess_persona,42,True,llm,ess,True,88.5,0.16581920903954805,1.1600000000000004,0.32,0.2,0.48,0.0,experiments/grounded_llm_ess_persona_s42
pure_llm_synth_persona_s42,pure_llm_synth_persona,42,False,llm,synthetic,False,94.5,0.07301587301587298,1.1599999999999997,0.36,0.64,0.0,0.0,experiments/pure_llm_synth_persona_s42
grounded_llm_synth_persona_s42,grounded_llm_synth_persona,42,False,llm,synthetic,True,89.5,0.15139664804469266,0.9500000000000002,0.28,0.18,0.54,0.0,experiments/grounded_llm_synth_persona_s42
auditable_random_ess_persona_s43,auditable_random_ess_persona,43,True,auditable_random,ess,True,84.85,0.13179139658220373,0.7949999999999998,0.27,0.38,0.35,0.0,experiments/auditable_random_ess_persona_s43
pure_llm_ess_persona_s43,pure_llm_ess_persona,43,True,llm,ess,False,88.5,0.08700564971751401,0.8149999999999998,0.3,0.67,0.03,0.0,experiments/pure_llm_ess_persona_s43
grounded_llm_ess_persona_s43,grounded_llm_ess_persona,43,True,llm,ess,True,84.5,0.1565088757396449,0.78,0.25,0.19,0.56,0.0,experiments/grounded_llm_ess_persona_s43
pure_llm_synth_persona_s43,pure_llm_synth_persona,43,False,llm,synthetic,False,93.5,0.05561497326203213,1.0999999999999999,0.35,0.65,0.0,0.0,experiments/pure_llm_synth_persona_s43
grounded_llm_synth_persona_s43,grounded_llm_synth_persona,43,False,llm,synthetic,True,93.0,0.09758064516129017,1.2700000000000002,0.34,0.2,0.46,0.0,experiments/grounded_llm_synth_persona_s43
auditable_random_ess_persona_s44,auditable_random_ess_persona,44,True,auditable_random,ess,True,87.15,0.08459552495697076,1.0599999999999998,0.32,0.4,0.28,0.0,experiments/auditable_random_ess_persona_s44
pure_llm_ess_persona_s44,pure_llm_ess_persona,44,True,llm,ess,False,90.5,0.07790055248618777,1.0399999999999998,0.34,0.66,0.0,0.0,experiments/pure_llm_ess_persona_s44
grounded_llm_ess_persona_s44,grounded_llm_ess_persona,44,True,llm,ess,True,88.25,0.11997167138810183,1.2200000000000002,0.33,0.19,0.48,0.0,experiments/grounded_llm_ess_persona_s44
pure_llm_synth_persona_s44,pure_llm_synth_persona,44,False,llm,synthetic,False,94.0,0.060372340425531856,1.2199999999999998,0.37,0.63,0.0,0.0,experiments/pure_llm_synth_persona_s44
grounded_llm_synth_persona_s44,grounded_llm_synth_persona,44,False,llm,synthetic,True,91.5,0.12704918032786883,1.1700000000000002,0.32,0.18,0.5,0.0,experiments/grounded_llm_synth_persona_s44
