respondent_id,country,trust_people,trust_fairness,trust_helpfulness,political_interest,political_self_efficacy,trust_parliament,trust_legal,trust_police,trust_politicians,trust_parties,trust_eu_parliament,trust_un,voted_last_election,contacted_politician,volunteered,left_right,life_satisfaction,satisfaction_economy,satisfaction_government,satisfaction_democracy,satisfaction_education,satisfaction_health_sys,reduce_inequality,gay_rights,immigration_same_ethnicity,immigration_diff_ethnicity,immigration_poor_countries,happiness,social_meeting_freq,close_confidants,social_activity,crime_victim,feel_safe_dark,self_rated_health,health_hampered,religious_belonging,born_in_country,felt_depressed,felt_everything_effort,sleep_restless,was_happy,felt_lonely,enjoyed_life,felt_sad,could_not_get_going,risk_taking,leadership_preference,competitiveness,gender,age,urbanization,education_level,employment_relation,occupation_code,income_decile,intagea,intgndr,intlnga,trust_institutions
50014.0,AT,0.5,0.5,0.5,1,4,0.6,0.9,1.0,0.5,0.5,0.5,0.5,1,2,2,0.5,0.8,0.6,0.4,0.6,0.8,0.8,0.25,0.25,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.8,0.5,0.0,3,2,0.6666666666666666,3,3,1,1,1,1,1,3,1,3,1,1,0.3333333333333333,0.6666666666666666,0.8333333333333334,1,65.0,3,3.0,6,,6.0,62.0,2,GER,0.8333333333333334
50030.0,AT,1.0,0.0,0.1,2,3,0.6,0.6,0.4,0.1,0.0,0.5,0.5,1,2,1,0.0,0.9,0.2,0.5,0.7,1.0,1.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9,1.0,0.5,4,1,0.3333333333333333,2,2,2,1,2,2,3,3,3,4,2,2,0.0,0.0,1.0,2,21.0,1,5.0,1,5249.0,1.0,48.0,2,GER,0.5333333333333333
50057.0,AT,0.6,0.9,0.8,2,4,0.7,0.5,0.8,0.4,0.4,0.7,0.5,1,1,1,0.3,1.0,0.6,0.5,0.6,0.5,0.8,0.0,0.0,1.0,1.0,1.0,0.9,0.5,0.5,3,2,0.3333333333333333,1,3,2,1,2,2,3,3,1,3,1,2,0.0,0.5,1.0,2,53.0,3,6.0,1,2635.0,5.0,,1,GER,0.6666666666666666
50106.0,AT,0.6,0.6,0.6,3,2,0.5,0.6,0.9,0.3,0.3,0.4,0.4,2,2,2,0.5,0.7,0.4,0.4,0.6,0.5,0.2,0.0,0.25,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7,0.8333333333333334,0.3333333333333333,3,2,0.3333333333333333,3,3,1,2,2,2,3,2,2,2,2,2,0.0,0.16666666666666666,1.0,2,78.0,1,5.0,1,2221.0,2.0,65.0,2,GER,0.6666666666666666
50145.0,AT,0.6,0.3,0.8,2,3,0.6,0.8,0.8,0.5,0.5,0.6,0.8,1,2,2,0.2,0.9,0.6,0.7,0.8,0.9,0.9,0.25,0.25,1.0,1.0,0.6666666666666666,0.9,0.6666666666666666,0.5,3,2,1.0,2,3,1,1,1,1,1,3,1,3,1,1,0.16666666666666666,0.0,1.0,1,64.0,4,3.0,1,5223.0,,30.0,1,GER,0.7333333333333334
50158.0,AT,0.8,0.8,0.4,2,2,0.3,0.5,0.7,0.5,0.5,0.4,0.6,1,2,2,0.4,0.8,0.4,0.2,0.3,0.3,0.7,0.25,0.25,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.8,0.8333333333333334,0.5,2,2,0.6666666666666666,1,3,1,2,1,2,2,4,1,4,1,2,0.3333333333333333,0.6666666666666666,0.5,2,59.0,4,4.0,1,1112.0,9.0,72.0,2,GER,0.5
50212.0,AT,0.8,0.8,0.8,1,4,0.9,0.9,0.9,0.7,0.6,0.7,0.7,1,1,1,0.3,0.8,0.6,0.6,0.8,0.6,0.7,0.25,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.8,0.5,0.16666666666666666,3,2,0.6666666666666666,2,2,1,1,1,2,2,3,1,4,1,1,0.0,0.6666666666666666,0.8333333333333334,2,69.0,4,7.0,1,2330.0,10.0,60.0,2,GER,0.9
50213.0,AT,0.7,0.8,0.7,3,2,0.6,0.7,0.8,0.3,0.2,0.5,0.6,1,2,2,0.5,0.8,0.6,0.5,0.8,0.9,0.9,0.0,0.25,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.8,0.5,0.5,3,2,0.6666666666666666,2,3,1,1,1,1,1,2,1,2,1,1,0.3333333333333333,0.16666666666666666,0.6666666666666666,2,52.0,4,5.0,1,2221.0,8.0,76.0,2,GER,0.6999999999999998
50235.0,AT,0.3,0.4,0.3,2,3,0.8,0.8,1.0,0.8,0.8,0.4,0.8,1,2,2,0.5,0.8,0.7,0.8,0.7,0.8,0.9,0.25,0.25,1.0,0.6666666666666666,0.3333333333333333,0.7,0.3333333333333333,0.0,1,2,0.6666666666666666,2,2,1,1,1,1,1,3,1,3,2,1,0.0,0.0,0.6666666666666666,2,75.0,4,2.0,1,5249.0,3.0,62.0,2,GER,0.8666666666666667
50236.0,AT,0.5,0.5,0.6,1,2,0.6,0.8,0.8,0.6,0.6,0.6,0.8,1,2,2,0.4,0.8,0.6,0.6,0.6,0.6,0.6,0.25,0.25,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.8,0.5,0.16666666666666666,3,2,0.6666666666666666,2,3,1,1,2,1,1,3,2,3,1,1,0.16666666666666666,0.3333333333333333,0.6666666666666666,2,44.0,1,5.0,1,4226.0,4.0,75.0,2,GER,0.7333333333333334
